"Player","Pos","Age","Tm","G","GS","MP","FG","FGA","FG.","X3P","X3PA","X3P.","X2P","X2PA","X2P.","eFG.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PS.G","MP.1","PER","TS.","X3PAr","FTr","ORB.","DRB.","TRB.","AST.","STL.","BLK.","TOV.","USG.","OWS","DWS","WS","WS.48","OBPM","DBPM","BPM","VORP","pos.f","distFT","distMI","distMIO","distMID","avgspeed","avgspeedO","avgspeedD","agerange"
"Blake Griffin","PF",26,"LAC",35,35,33.4,8.6,17.2,0.499,0.2,0.5,0.333,8.4,16.7,0.504,0.504,4,5.5,0.727,1.5,6.9,8.4,4.9,0.8,0.5,2.4,2.7,21.4,1170,22.1,0.544,0.03,0.322,4.8,22.3,13.7,27.2,1.2,1.1,10.8,29.8,2.2,1.6,3.8,0.156,1.7,1.6,3.3,1.6,"PF",11057.9,2.09,1.12,0.98,3.76,4.05,3.48,"25-27"
"Jorge Gutierrez","PG",27,"CHO",12,0,5.3,0.5,0.9,0.545,0,0.2,0,0.5,0.8,0.667,0.545,0.8,0.9,0.909,0,0.6,0.6,1.4,0.3,0,0.5,0.3,1.8,63,19.1,0.694,0.182,1,0,12.3,6.1,40.3,2.4,0,27.5,15.6,0.2,0.1,0.3,0.201,-0.8,-2.4,-3.2,0,"PG",2067.8,0.39,0.21,0.18,4.42,4.62,4.24,"25-27"
"PJ Hairston","SF",23,"TOT",66,52,19.9,2.2,6.2,0.355,1.1,3.7,0.29,1.1,2.5,0.449,0.441,0.8,1,0.781,0.4,2.3,2.6,0.6,0.5,0.2,0.6,2.1,6.2,1313,6.9,0.47,0.591,0.157,2.1,12.8,7.3,4.4,1.2,0.7,8.6,16.4,-0.6,1.1,0.6,0.021,-2.7,-1.5,-4.2,-0.7,"SF",7362.4,1.39,0.75,0.64,4.2,4.51,3.89,"22-24"
"Jordan Hamilton","SF",25,"NOP",11,4,27.6,4.5,10.5,0.422,1.2,4.1,0.289,3.3,6.5,0.507,0.478,1.3,1.9,0.667,1.1,4.5,5.6,2.3,0.7,0.3,1.5,2.2,11.4,304,12.4,0.499,0.388,0.181,4.2,18.9,11.3,12.9,1.3,0.8,12,20.7,0,0.2,0.2,0.03,-1.2,-1,-2.2,0,"SF",10507.1,1.99,1.06,0.93,4.32,4.57,4.01,"25-27"
"Tyler Hansbrough","PF",30,"CHO",44,0,7.8,0.7,1.6,0.451,0,0.1,0.667,0.7,1.5,0.441,0.465,0.9,1.5,0.585,0.9,1.1,2,0.2,0.3,0.2,0.3,1.3,2.4,343,12.5,0.522,0.042,0.915,12.6,15.8,14.2,3.5,1.8,1.7,10.8,14.7,0.5,0.5,1,0.134,-2.6,-0.1,-2.7,-0.1,"PF",2799.6,0.53,0.28,0.25,4.07,4.18,3.94,"28-30"
"Tim Hardaway","SG",23,"ATL",51,1,16.9,2.2,5.2,0.43,0.9,2.8,0.338,1.3,2.4,0.537,0.521,1,1.1,0.893,0.1,1.5,1.7,1,0.4,0.1,0.5,0.9,6.4,864,11.7,0.563,0.536,0.211,0.9,9.8,5.4,8.9,1.2,0.6,7.4,16.2,0.9,1,1.9,0.105,-0.9,-1.2,-2.1,0,"SG",6314.3,1.2,0.62,0.58,4.22,4.6,3.88,"22-24"
"James Harden","SG",26,"HOU",82,82,38.1,8.7,19.7,0.439,2.9,8,0.359,5.8,11.7,0.494,0.512,8.8,10.2,0.86,0.8,5.3,6.1,7.5,1.7,0.6,4.6,2.8,29,3125,25.3,0.598,0.406,0.518,2.2,15.6,8.8,35.4,2.2,1.4,15.9,32.5,10.7,2.6,13.3,0.204,7.1,-0.4,6.7,6.9,"SG",12744.2,2.41,1.27,1.15,3.79,4.12,3.48,"25-27"
"Maurice Harkless","SF",22,"POR",78,14,18.7,2.5,5.3,0.474,0.5,1.8,0.279,2,3.5,0.576,0.522,0.9,1.4,0.622,1.3,2.3,3.6,0.9,0.6,0.4,0.8,1.6,6.4,1457,13.3,0.541,0.341,0.27,7.5,13.3,10.4,6.9,1.7,1.9,11.9,15.6,1.6,1.3,2.9,0.096,-0.4,0.2,-0.2,0.7,"SF",7194.3,1.36,0.74,0.62,4.37,4.67,4.07,"22-24"
"Justin Harper","PF",26,"DET",5,0,7,0.8,2,0.4,0.8,1.8,0.444,0,0.2,0,0.6,0.2,0.4,0.5,0,0.2,0.2,0,0.2,0,0.4,0.6,2.6,35,6.9,0.597,0.9,0.2,0,3.2,1.6,0,1.4,0,15.5,16,0,0,0,0.039,-1.3,-3.3,-4.6,0,"PF",2576.8,0.49,0.27,0.21,4.07,4.72,3.76,"25-27"
"Montrezl Harrell","PF",22,"HOU",39,1,9.7,1.5,2.3,0.644,0,0,0,1.5,2.3,0.652,0.644,0.6,1.2,0.522,0.6,1,1.7,0.4,0.3,0.3,0.4,1.2,3.6,379,14.6,0.635,0.011,0.511,7.2,11.7,9.5,7.2,1.4,2.4,13.4,14.5,0.7,0.2,0.9,0.118,-1.2,-0.7,-1.9,0,"PF",3640.5,0.69,0.35,0.34,4.24,4.63,3.94,"22-24"
